amt
amt_Proteo_Campylo,amt_Bacteroidota_4,amt_Proteo_Cyano_diverse_bacteria,amt_Archaea_Bacteria,amt_Bacteroidota_2,amt_Bacteroidota,rh_transporter_eukaryotic,amt_Proteo_swiss,amt_Actinobacteria_2,amt_Bacteroidota_3,amt_Actinobacteria,amt_bacteria,amt_Delta_Plantomycetes,amt_Archaea_Bacteria_2,amt_Cyano,amt_Firmicutes_3,amt_Aquifex,amt_Cyanos_Bacteroidota,amt_bacteria_2,amt_Cyano_2,amt_Archaea_Bacteria_3,amt_Firmicutes_Bacteroidota,amt_diverse_bacteria,alone_3,amt_Firmicutes,amt_Firmicutes_2,amt_Firmicutes_4,amt_plants_2,amt_Actinobacteria_3
>>f__Rhodobacteraceae
3981.0410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116.1720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
355.6520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>f__Flavobacteriaceae
0.0000,28813.7850,0.0000,0.0000,807.4400,1.5590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,863.1020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,171.5470,0.0000,0.0000,29.7920,0.0000,0.0000,0.0000,0.0000,1.1230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,130.1950,0.0000,0.0000,349.8440,19.8730,0.0000,0.0000,0.0000,4.6890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__
11504374.3340,0.0000,844198.7470,0.0000,0.0000,11348.4800,0.0000,120495.6250,81553.0650,0.0000,0.0000,0.0000,0.0000,0.0000,39140.6400,0.0000,0.0000,0.0000,4750.7670,9352.7180,0.0000,0.0000,0.9960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295109.5500,0.0000,100424.0440,0.0000,0.0000,76.5180,0.0000,14051.5440,259.9320,0.0000,0.0000,0.0000,0.0000,0.0000,50.5320,0.0000,0.0000,0.0000,22.5600,52.0400,0.0000,0.0000,0.2490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6470.7240,0.0000,2922.9500,0.0000,0.0000,0.0000,0.0000,15064.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6300,0.0000,0.0000,0.0000,1.1340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>f__AG-339-G14
9625.2520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145.9120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Pelagibacter sp000155895
0.0000,0.0000,678.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,52.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
