nirs
Cl_Gammaproteobacteria_1,Cl_Halobacteria,Cl_Mainly-Gamma,Cl_Dehalococcoidales,Cl_Alphaproteobacteria,Cl_Planctomycetota,Cl_Alpha-Gamma_2,Cl_Alpha-Gamma_1,Cl_Mix_3
>>o__Methylococcales
3831.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44423.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113297.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>Unspecified
0.0000,44.2330,0.0000,0.0000,0.0000,0.0000,0.0000,1.1690,0.0000
0.0000,878.0500,0.0000,0.0000,0.0000,0.0000,0.0000,1.7240,0.0000
0.0000,4568.8580,0.0000,0.0000,0.2180,0.0000,1.0820,0.0000,0.0000
>>s__Marinobacter hydrocarbonoclasticus
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,126.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__
0.0000,0.0000,0.0000,0.0000,0.0000,5.5710,0.0000,0.0000,0.0000
0.0000,0.0000,0.2440,0.5900,0.0000,95.4250,0.0000,0.7790,3.5430
0.0000,0.0000,45.7920,2.5510,0.2330,0.0000,0.0000,0.0000,0.0000
>>s__Pseudomonas_A stutzeri_AB
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.2440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>g__Marinobacter
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__UBA7803 sp002480525
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>o__Pseudomonadales
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.6320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Labrenzia aggregata
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.8680,0.0000,0.0000,0.0000,0.0000
>>s__Thiobacillus denitrificans_E
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.6120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,17.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Marinicella sediminis
0.0000,0.0000,0.8780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,9.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Marinobacter segnicrescens
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.2270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__GCA-002726655 sp002725995
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,2.3580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>c__Gammaproteobacteria
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
