Gene	Taxon	Context	Cluster	Abundance	Diversity	Univocity	delta	k-value
potF	c_Gammaproteobacteria	Bathypelagic	C3	31.04700000000001	49	1.0	2.6847372632746263	83.35303781288735
potF	c_Gammaproteobacteria	Epipelagic	C3	14.017999999999999	14	1.0	1.3083010256980465	18.339763778235216
potF	c_Gammaproteobacteria	Mesopelagic	C3	35.104	38	1.0	1.9172392097722435	67.30276521984483
potF	o_Rhizobiales	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	o_Rhizobiales	Epipelagic	C3	0.364	1	1.0	1.00001	0.36400364
potF	o_Rhizobiales	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thalassococcus profundi	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thalassococcus profundi	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thalassococcus profundi	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Thalassospira	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Thalassospira	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Thalassospira	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f_Rhodobacteraceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f_Rhodobacteraceae	Epipelagic	C3	2.783	7	1.0	1.9370921720769028	5.39092751489002
potF	f_Rhodobacteraceae	Mesopelagic	C3	0.197	1	1.0	1.00001	0.19700197000000003
potF	c_Alphaproteobacteria	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	c_Alphaproteobacteria	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	c_Alphaproteobacteria	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pseudooceanicola flagellatus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pseudooceanicola flagellatus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pseudooceanicola flagellatus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	o_Rhodobacterales	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	o_Rhodobacterales	Epipelagic	C3	16.837	19	1.0	1.570002000163411	26.43412367675135
potF	o_Rhodobacterales	Mesopelagic	C3	2.643	1	1.0	0.2864884638943876	0.7571890100728663
potF	o_Pseudomonadales	Bathypelagic	C3	0.802	2	1.0	1.2761187171225796	1.023447211132309
potF	o_Pseudomonadales	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	o_Pseudomonadales	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Pseudooceanicola	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Pseudooceanicola	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Pseudooceanicola	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Halomonas	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Halomonas	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Halomonas	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f_Hyphomicrobiaceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f_Hyphomicrobiaceae	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	f_Hyphomicrobiaceae	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f_Aurantimonadaceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f_Aurantimonadaceae	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	f_Aurantimonadaceae	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	p_Proteobacteria	Bathypelagic	C3	0.531	1	1.0	0.8415973328204994	0.44688818372768524
potF	p_Proteobacteria	Epipelagic	C3	0.195	1	1.0	1.00001	0.19500195
potF	p_Proteobacteria	Mesopelagic	C3	0.511	1	1.0	0.8635741197529485	0.4412863751937567
potF	g_Fulvimarina	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Fulvimarina	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Fulvimarina	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Marinobacter	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Marinobacter	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Marinobacter	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Mesorhizobium oceanicum	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Mesorhizobium oceanicum	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Mesorhizobium oceanicum	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f_Porticoccaceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f_Porticoccaceae	Epipelagic	C3	7.774	10	1.0	1.3883481267974307	10.793018337723225
potF	f_Porticoccaceae	Mesopelagic	C3	1.447	1	1.0	0.4293153952076561	0.6212193768654785
potF	s_Gammaproteobacteria bacterium	Bathypelagic	C3	153.65800000000002	72	1.0	1.3480102368953117	207.13255698085985
potF	s_Gammaproteobacteria bacterium	Epipelagic	C3	52.021	36	1.0	1.3947518593962753	72.55638647765365
potF	s_Gammaproteobacteria bacterium	Mesopelagic	C3	251.452	148	1.0	1.9906712237323345	500.558260549943
potF	g_Sulfitobacter	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Sulfitobacter	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Sulfitobacter	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Maritimibacter	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Maritimibacter	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Maritimibacter	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Candidatus Thioglobus sp.	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Candidatus Thioglobus sp.	Epipelagic	C3	1.311	2	1.0	0.9174582174063819	1.2027877230197666
potF	s_Candidatus Thioglobus sp.	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Marinovum algicola	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Marinovum algicola	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Marinovum algicola	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Ahrensia	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Ahrensia	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Ahrensia	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Aurantimonas	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Aurantimonas	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Aurantimonas	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Fulvimarina manganoxydans	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Fulvimarina manganoxydans	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Fulvimarina manganoxydans	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f_Rhizobiaceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f_Rhizobiaceae	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	f_Rhizobiaceae	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f_Phyllobacteriaceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f_Phyllobacteriaceae	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	f_Phyllobacteriaceae	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Candidatus Thioglobus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Candidatus Thioglobus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Candidatus Thioglobus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Paracoccus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Paracoccus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Paracoccus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Roseovarius	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Roseovarius	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Roseovarius	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	n_SAR116 cluster	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	n_SAR116 cluster	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	n_SAR116 cluster	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pelagibacteraceae bacterium	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pelagibacteraceae bacterium	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pelagibacteraceae bacterium	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pseudooceanicola atlanticus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pseudooceanicola atlanticus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Pseudooceanicola atlanticus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Nisaea	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Nisaea	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Nisaea	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Mesorhizobium	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Mesorhizobium	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Mesorhizobium	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	k_Bacteria	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	k_Bacteria	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	k_Bacteria	Mesopelagic	C3	15.831999999999999	7	1.0	0.6028262210782036	9.543944732110118
potF	s_Candidatus Poribacteria bacterium	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Candidatus Poribacteria bacterium	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Candidatus Poribacteria bacterium	Mesopelagic	C3	5.764	6	1.0	1.0183212274192814	5.869603554844739
potF	g_Pseudomonas	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Pseudomonas	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Pseudomonas	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thalassococcus halodurans	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thalassococcus halodurans	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thalassococcus halodurans	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Devosia	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Devosia	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Devosia	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thiotrichales bacterium	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thiotrichales bacterium	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s_Thiotrichales bacterium	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g_Stappia	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g_Stappia	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g_Stappia	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Ketobacter	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Ketobacter	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	n_unclassified Ketobacter	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	GTDB:s__Thioglobus sp001628405	Bathypelagic	C3	0	0	1.0	0.0	0.0
