potF
C3,c1b,c1a,c2b,c2a,incertae
>>s__UBA11791 sp002714255
2.5482,0.0000,0.0000,0.0000,0.0000,0.0000
11.6714,0.0000,0.0000,0.0000,0.0000,0.0000
31.0349,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Pseudomonas_E marincola
0.3640,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>g__Puniceibacterium
0.0000,0.5317,0.0000,0.0000,0.0000,0.0000
0.0000,5.3897,0.0000,0.0000,0.0000,0.0000
0.0000,10.6454,0.0000,0.0000,0.0000,0.0000
>>g__Thalassospira
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.9646,0.0000,0.0000,0.0000
>>s__Tritonibacter mobile
0.0000,2.8980,0.0000,0.0000,0.0000,0.0000
0.0000,1.8470,0.0000,0.0000,0.0000,0.0000
0.0000,7.0103,0.0000,0.0000,0.0000,0.0000
>>s__UBA8309 sp002457745
0.0000,1.9311,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__
102.9558,46.9826,268.0767,0.0000,59.8899,0.0000
220.2188,3.4903,455.7845,2.4468,366.5906,0.0000
152.1222,1.7051,144.3657,1.6681,130.4820,0.0000
>>s__Pseudooceanicola sp002709085
0.0000,0.5052,0.0000,0.0000,0.0000,0.0000
0.0000,1.8811,0.0000,0.0000,0.0000,0.0000
0.0000,1.1665,0.0000,0.0000,0.0000,0.0000
>>s__Pseudomonas_D pachastrellae
0.0000,0.0000,0.0000,2.1155,0.0000,0.0000
0.0000,0.0000,0.0000,68.8437,0.0000,0.0000
0.0000,0.0000,0.0000,173.8101,0.0000,0.0000
>>s__Pseudooceanicola batsensis
0.0000,1.0579,0.0000,0.0000,0.0000,0.0000
0.0000,4.9318,0.0000,0.0000,0.0000,0.0000
0.0000,17.3310,0.0000,0.0000,0.0000,0.0000
>>s__Salipiger marinus
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,3.6124,0.0000,0.0000,0.0000,0.0000
>>s__Halomonas sp002696125
0.0000,0.0000,0.0000,9.5629,0.0000,0.0000
0.0000,0.0000,0.0000,32.6093,0.0000,0.0000
0.0000,0.0000,0.0000,36.8157,0.0000,0.0000
>>s__Sulfitobacter pontiacus
0.0000,39.7840,0.0000,0.0000,0.0000,0.0000
0.0000,91.2384,0.0000,0.0000,0.0000,0.0000
0.0000,105.7872,0.0000,0.0000,0.0000,0.0000
>>s__Fulvimarina sp002700095
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.2510,0.0000,0.0000,0.0000
>>s__Ahrensia sp002706335
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,7.6996,0.0000,0.0000,0.0000
0.0000,0.0000,17.1094,0.0000,0.0000,0.0000
>>s__Fulvimarina manganoxydans
0.0000,0.0000,8.2307,0.0000,0.0000,0.0000
0.0000,0.0000,25.7743,0.0000,0.0000,0.0000
0.0000,0.0000,48.1870,0.0000,0.0000,0.0000
>>s__Pseudooceanicola nitratireducens
0.0000,1.0778,0.0000,0.0000,0.0000,0.0000
0.0000,1.9250,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Marinobacter sp001752365
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.3040,0.0000,0.0000
0.0000,0.0000,0.0000,2.2339,0.0000,0.0000
>>s__Mesorhizobium_E oceanicum
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1376,0.0000,0.0000,0.0000
0.0000,0.0000,4.5191,0.0000,0.0000,0.0000
>>s__AAA300-D14 sp002715065
17.3843,0.0000,0.0000,0.0000,0.0000,0.0000
0.6023,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__UBA11889 sp002313255
0.4394,0.0000,0.0000,0.0000,0.0000,0.0000
40.8239,0.0000,0.0000,0.0000,0.0000,0.0000
18.6300,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Sulfitobacter sp001635605
0.0000,0.2350,0.0000,0.0000,0.0000,0.0000
0.0000,2.4352,0.0000,0.0000,0.0000,0.0000
0.0000,11.2172,0.0000,0.0000,0.0000,0.0000
>>s__Maritimibacter alkaliphilus
0.0000,1.6017,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,2.0835,0.0000,0.0000,0.0000,0.0000
>>s__Marinovum algicola
0.0000,0.2290,0.0000,0.0000,0.0000,0.0000
0.0000,3.4534,0.0000,0.0000,0.0000,0.0000
0.0000,7.3934,0.0000,0.0000,0.0000,0.0000
>>s__Pseudooceanicola atlanticus
0.0000,2.8112,0.0000,0.0000,0.0000,0.0000
0.0000,6.6664,0.0000,0.0000,0.0000,0.0000
0.0000,10.8728,0.0000,0.0000,0.0000,0.0000
>>s__Thalassococcus halodurans
0.0000,0.9679,0.0000,0.0000,0.0000,0.0000
0.0000,0.9374,0.0000,0.0000,0.0000,0.0000
0.0000,4.6945,0.0000,0.0000,0.0000,0.0000
>>s__UBA1611 sp002321855
1.5072,0.0000,0.0000,0.0000,0.0000,0.0000
57.6293,0.0000,0.0000,0.0000,0.0000,0.0000
2.0486,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Aurantimonas coralicida
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.6215,0.0000,0.0000,0.0000
>>s__Agrobacterium tumefaciens_F
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,11.8640,0.0000,0.0000,0.0000
>>s__Pseudomonas_D aestusnigri
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.4425,0.0000,0.0000
>>s__Hoeflea phototrophica
0.0000,0.0000,0.4115,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.4842,0.0000,0.0000,0.0000
>>s__Marinobacter flavimaris
0.0000,0.0000,0.0000,0.2030,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,13.7098,0.0000,0.0000
>>s__Paracoccus sp002294185
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,2.4055,0.0000,0.0000,0.0000,0.0000
0.0000,3.4810,0.0000,0.0000,0.0000,0.0000
>>s__UBA8309 sp002457765
0.0000,1.1061,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>f__Rhodobacteraceae
0.0000,1.9745,0.0000,0.0000,0.0000,0.0000
0.0000,1.4345,0.0000,0.0000,0.0000,0.0000
0.0000,7.5085,0.0000,0.0000,0.0000,0.0000
>>s__Roseovarius nubinhibens
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.6535,0.0000,0.0000,0.0000,0.0000
>>g__Aurantimonas
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.3360,0.0000,0.0000,0.0000
>>s__Thalassospira sp001613795
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0593,0.0000,0.0000,0.0000
>>s__Pseudooceanicola_B lipolyticus
0.0000,0.4000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__AG-337-I02 sp003215235
0.0000,0.0000,102.1644,0.0000,0.0000,0.0000
0.0000,0.0000,0.4307,0.0000,0.0000,0.0000
0.0000,0.0000,0.3090,0.0000,0.0000,0.0000
>>s__UBA9145 sp002712055
1.1191,0.0000,0.0000,0.0000,0.0000,0.0000
64.1887,0.0000,0.0000,0.0000,0.0000,0.0000
2.2662,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Antarctobacter heliothermus_B
0.0000,1.2025,0.0000,0.0000,0.0000,0.0000
0.0000,0.3940,0.0000,0.0000,0.0000,0.0000
0.0000,0.4456,0.0000,0.0000,0.0000,0.0000
>>s__Thioglobus sp001628405
0.0000,0.0000,0.4215,0.0000,0.0000,0.0000
