potF
C3,c1b,c1a,c2b,c2a,incertae
>>c_Gammaproteobacteria
18.3398,0.0000,21.6265,0.0000,8.7726,0.0000
67.3028,0.0000,209.7082,0.0000,35.9630,0.0000
83.3530,0.0000,1.0847,0.0000,0.7702,0.0000
>>o_Rhizobiales
0.3640,0.0000,0.4154,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0960,0.0000,0.0000,0.0000
>>s_Thalassococcus profundi
0.0000,0.5445,0.0000,0.0000,0.0000,0.0000
0.0000,2.7071,0.0000,0.0000,0.0000,0.0000
0.0000,11.3403,0.0000,0.0000,0.0000,0.0000
>>g_Thalassospira
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,3.8813,0.0000,0.0000,0.0000
>>f_Rhodobacteraceae
5.3909,99.6434,0.0000,0.0000,0.0000,0.0000
0.1970,185.0478,0.0000,0.0000,0.0000,0.0000
0.0000,304.8123,0.3360,0.0000,0.0000,0.0000
>>c_Alphaproteobacteria
0.0000,48.9825,144.6605,0.0000,0.0000,0.0000
0.0000,1.9725,13.2820,0.0000,0.0000,0.0000
0.0000,0.1640,1.7102,0.0000,0.0000,0.0000
>>s_Pseudooceanicola flagellatus
0.0000,0.5159,0.0000,0.0000,0.0000,0.0000
0.0000,0.4606,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>o_Rhodobacterales
26.4341,0.0000,0.0000,0.0000,0.0000,0.0000
0.7572,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>o_Pseudomonadales
0.0000,0.0000,0.0000,2.2016,0.0000,0.0000
0.0000,0.0000,0.0000,75.6252,0.0000,0.0000
1.0234,0.0000,0.0000,196.0431,0.0000,0.0000
>>g_Pseudooceanicola
0.0000,2.7477,0.0000,0.0000,0.0000,0.0000
0.0000,13.9636,0.0000,0.0000,0.0000,0.0000
0.0000,23.9381,0.0000,0.0000,0.0000,0.0000
>>g_Halomonas
0.0000,0.0000,0.0000,10.0708,0.0000,0.0000
0.0000,0.0000,0.0000,40.3995,0.0000,0.0000
0.0000,0.0000,0.0000,46.1546,0.0000,0.0000
>>f_Hyphomicrobiaceae
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,3.4091,0.0000,0.0000,0.0000
>>f_Aurantimonadaceae
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.2510,0.0000,0.0000,0.0000
>>p_Proteobacteria
0.1950,0.0000,128.6318,0.0000,38.2494,0.0000
0.4413,0.0000,2.0577,0.0000,13.6771,0.0000
0.4469,0.4278,10.3306,0.0000,0.4251,0.5502
>>g_Fulvimarina
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.3080,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>g_Marinobacter
0.0000,0.0000,0.0000,0.2030,0.0000,0.0000
0.0000,0.0000,0.0000,0.9415,0.0000,0.0000
0.0000,0.0000,0.0000,21.4958,0.0000,0.0000
>>s_Mesorhizobium oceanicum
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.3240,0.0000,0.0000,0.0000
>>f_Porticoccaceae
10.7930,0.0000,0.0000,0.0000,0.0000,0.0000
0.6212,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s_Gammaproteobacteria bacterium
72.5564,0.0000,1.6750,0.0000,21.6755,0.0000
500.5583,0.0000,0.0000,0.0000,293.6918,0.0000
207.1326,0.0000,0.0000,0.0000,139.6621,0.0000
>>g_Sulfitobacter
