Node;min_temp;max_temp;optimal_temp;min_pH;max_pH;optimum_ph;min_sal;max_sal;optimum_sal;motility;hidrocarbons;aerobiosis;anaerobiosis;gram;nitrate-red
1;-0.39;-3.72;-2.63;0.00;0.00;0.00;2.92;-0.69;1.09;-2.91;-0.51;0.24;-1.10;0.00;1.64
37;-0.03;-0.33;0.42;2.50;-3.62;-1.19;3.28;2.91;-0.39;-10.27;2.21;-3.03;-2.06;0.00;-4.43
39;-0.15;-0.47;0.41;2.17;-3.62;-1.56;3.15;3.02;-0.34;-10.18;2.24;-3.00;-2.10;0.00;-4.33
43;-3.62;1.58;0.63;0.04;-5.01;-0.74;-1.44;-3.10;-1.87;0.46;-0.10;0.63;1.27;0.00;2.35
51;-2.89;-0.46;1.18;-1.16;-2.76;-4.12;-0.58;-3.74;-3.79;0.04;2.09;0.45;-0.34;0.00;1.44
77;-1.80;1.42;0.30;0.45;-3.38;0.37;-0.67;-1.45;0.10;0.20;-0.69;0.34;3.60;0.00;1.22
94;0.94;-3.38;-5.34;-0.46;2.41;-2.41;-0.25;-1.87;-0.13;-2.09;-2.06;1.00;-2.22;0.00;-0.91
140;-1.31;0.88;-1.12;-3.97;0.62;-5.28;-0.75;1.05;0.06;1.02;-0.49;0.24;2.58;0.00;1.65
154;0.20;-6.11;-9.48;-3.44;-0.44;-3.05;2.20;-3.11;0.18;2.85;-1.39;0.67;-3.06;0.00;4.55
219;1.59;0.38;1.41;0.00;0.00;0.00;0.00;0.00;0.00;0.68;3.89;0.16;0.00;0.00;1.09
253;1.63;0.39;1.36;0.00;0.00;0.00;0.00;0.00;0.00;0.67;3.98;0.16;0.00;0.00;1.09
261;-0.16;-3.37;-1.72;4.71;-3.98;0.20;-0.64;-1.77;-2.32;2.05;-0.97;-5.76;1.47;0.00;-1.87
276;-2.07;-5.03;-3.50;0.00;0.00;-1.44;-0.41;-1.46;-1.29;1.38;-0.68;0.32;-1.46;0.00;0.00
316;-0.84;-0.01;-0.43;-0.89;1.00;-0.79;-0.20;-0.46;0.05;0.62;3.73;0.16;-0.69;0.00;-1.12
329;-1.58;-3.52;-4.16;0.00;0.00;-0.76;0.00;0.00;-0.12;0.63;0.00;0.15;1.66;0.00;1.03
349;1.43;2.50;0.49;-1.43;-0.18;-4.43;-1.71;-0.80;-1.13;1.22;-0.59;0.29;3.03;0.00;1.93
361;-0.45;-0.83;-0.99;0.38;0.65;-0.19;-3.00;3.60;1.90;-8.29;-1.40;0.66;-3.10;0.00;-1.84
419;2.23;-0.87;0.44;0.76;-1.72;-0.32;-1.14;-3.60;-3.38;-0.19;5.01;0.39;0.78;0.00;0.56
442;-0.39;-0.36;-0.28;-0.84;-0.54;-1.27;2.01;0.23;0.68;1.84;0.88;0.58;3.87;0.00;1.19
450;-1.14;-0.73;-1.21;-3.43;0.31;-3.17;0.03;0.25;-0.59;1.37;2.26;0.34;1.83;0.00;2.21
453;-0.82;-1.19;-0.31;0.00;0.00;-0.78;0.00;0.00;0.00;0.63;3.67;0.14;1.64;0.00;1.01
467;-0.95;1.10;0.54;0.00;0.00;0.00;-0.25;1.10;0.05;0.74;4.31;0.17;-0.80;0.00;1.18
484;0.55;0.92;0.94;1.37;-2.22;-0.25;3.00;4.56;1.87;-10.76;-0.88;0.98;-3.27;0.00;-3.55
531;-0.48;-5.21;-2.92;2.08;-2.12;-0.83;3.76;-1.18;0.50;-6.98;-1.74;0.85;-3.88;0.00;-2.90
546;-1.61;-6.29;-5.13;2.77;-3.03;-1.14;2.98;0.41;1.94;-6.20;-1.06;0.52;-2.34;0.00;-2.36
557;0.07;-0.02;0.36;0.52;-1.51;-3.32;2.56;1.27;4.70;-2.42;-0.40;0.20;-0.91;0.00;1.34
694;0.31;0.47;0.21;-0.24;-0.32;0.04;1.14;2.23;5.91;-1.10;1.08;0.16;-0.74;0.00;-1.19
697;-0.44;0.53;0.53;-0.99;2.36;3.48;-0.67;0.72;0.14;-2.13;-0.36;0.16;-0.81;0.00;-1.31
715;-0.83;0.55;0.27;0.43;-1.22;0.20;0.53;3.07;3.01;0.65;-0.32;0.16;1.63;0.00;-1.09
731;0.77;0.95;1.06;-0.23;-0.12;0.69;3.33;1.02;3.21;-1.82;-0.31;0.14;-0.68;0.00;-1.12
753;1.49;1.53;2.23;1.68;-0.70;0.20;3.38;3.66;3.09;0.62;-0.32;0.15;1.67;0.00;-1.11
829;-0.79;0.71;0.85;0.67;1.60;1.76;-0.29;-0.32;-1.49;1.74;3.15;0.41;-0.49;0.00;-2.55
857;0.77;-0.40;1.24;0.55;-1.84;-1.39;0.56;-0.18;0.05;0.64;3.67;-7.35;1.65;0.00;-1.12
866;-0.28;-0.09;-0.77;-2.50;3.06;1.08;-2.11;-2.17;0.46;6.32;-1.48;1.70;1.40;0.00;2.04
868;-0.41;-0.47;-0.51;-3.03;2.86;0.76;-2.75;-2.19;-0.42;5.40;-1.13;1.40;1.15;0.00;2.04
869;-0.93;-0.55;-0.79;-3.03;2.81;1.13;-3.63;-2.00;-0.30;5.52;-0.99;1.36;0.79;0.00;1.89
876;1.73;0.25;0.13;2.69;1.52;3.32;-1.58;-1.73;-1.11;1.16;-0.56;0.27;-1.23;0.00;1.19
908;-2.28;-1.57;-3.08;0.00;0.00;0.00;-1.08;-1.17;0.00;0.74;-0.36;0.17;1.87;0.00;-1.29
939;-0.86;1.30;0.45;0.40;1.35;1.46;1.57;5.02;2.70;1.54;-0.74;0.36;-0.41;0.00;0.74
940;-1.04;1.25;0.38;0.65;1.74;2.17;1.21;4.82;3.06;1.51;-0.73;0.36;-0.26;0.00;0.51
947;-0.62;0.32;0.32;0.75;2.07;3.42;1.20;4.85;3.96;0.73;-0.36;0.17;0.53;0.00;1.18
956;-1.96;-1.77;-1.85;0.32;-0.36;-0.20;-0.13;-0.55;-0.71;1.75;-0.87;0.41;3.29;0.00;1.64
962;-1.56;-3.46;-4.04;0.00;0.00;-0.77;0.00;0.00;-0.14;0.64;0.00;0.15;1.63;0.00;1.02
1005;-2.29;-1.56;-3.05;0.00;0.00;0.00;-1.08;-1.17;0.00;0.73;-0.35;0.17;1.88;0.00;-1.30
1065;3.23;0.81;1.46;0.00;0.00;-0.82;0.00;0.00;0.00;0.68;-0.34;0.15;1.75;0.00;1.11
1071;-0.16;-1.00;0.07;-0.24;-0.13;-0.15;3.12;0.20;0.42;-0.60;-0.31;0.15;0.46;0.00;-1.13
1118;-1.63;-1.94;-3.10;-0.40;-0.21;-1.64;-0.05;-0.45;0.08;1.33;1.01;0.30;-0.46;0.00;-0.57
1130;-0.83;-0.00;-0.40;-0.86;1.01;-0.78;-0.22;-0.46;0.04;0.64;3.83;0.15;-0.68;0.00;-1.11
