organism,min_temp,max_temp,optimal_temp,min_pH,max_pH,optimum_ph,min_sal,max_sal,optimum_sal,motility,hidrocarbons,aerobiosis,anaerobiosis,gram,nitrate-red,source,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001416,,,,
Yoonia maricola,4,34,25,7,8,7.5,0.5,8,2,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/17684260/,,,,,
Yoonia litorea,10,37,30,6,8,7.5,0.5,7,2,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/22389278/,,,,,
Nioella nitratireducens,10,37,30,6,8,6,2,11,8,0,0,1,0,0,1,https://link.springer.com/article/10.1007/s10482-014-0355-5,,,,,
Octadecabacter antarcticus,4,10,6,6,9.5,7.75,1.7,7,3.5,0,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0723202097800033,,,,,
Shimia marina,15,35,32.5,6,10,8,3,7,4,1,0,1,0,0,1,https://pubmed.ncbi.nlm.nih.gov/16902023/,,,,,
Shimia haliotis,15,37,30,6,9,7,0,5,3,1,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/23811138/,,,,,
Pseudopelagicola gijangensis,4,35,25,6,8,7.5,1,5,2,0,0,1,0,0,1,https://pubmed.ncbi.nlm.nih.gov/25048211/,,,,,
Thalassobius aestuarii,15,35,35,6,11,7,1,7,2,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/16728953/,,,,,
Aliiroseovarius pelagivivens,10,30,25,6,8,7.5,1,4,1.5,0,0,1,0,0,1,https://pubmed.ncbi.nlm.nih.gov/25964517/,,,,,
Lentibacter algarum,22,28,25,2,9,5.5,3,9,6,0,0,1,0,0,1,https://pubmed.ncbi.nlm.nih.gov/21685253/,,,,,
Pseudaestuariivita atlantica,10,45,28,5,10,7.5,1,9,4,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/26297013/,,,,,
Ascidiaceihabitans donghaensis,4,30,30,6,8,7.5,1.5,6,2,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/25205799/,,,,,
Boseongicola aestuarii,10,30,25,6.5,8,7.5,0.5,5,2,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.061960-0,,,,,
Cognatiyoonia sediminum,10,46,30,7,10,7.5,0,6,3.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.070680-0,,,,,
Roseobacter litoralis,2,30,25,7.5,9.5,7.5,,,,1,0,1,0,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3141670/,,,,,
Octadecabacter temperatus,4,25,20,7,9,8,1,6,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/6/1967_ijs000205.pdf?expires=1663939839&id=id&accname=guest&checksum=87A2EEB765AF81750BA7B7D297083A80,,,,,
Pseudooctadecabacter jejudonensis,15,35,30,6,8,7.5,1,6,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.057513-0,,,,,
Roseovarius nanhaiticus,15,30,30,,,,0.5,10,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.012930-0,,,,,
Pseudooceanicola marinus,4,42,31.5,6,9,7,2,8,4,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65020-0,,,,,
Roseovarius litorisediminis,4,40,25,5,8,7.5,1,7,2.5,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s10482-013-9930-4,,,,,
Pseudooceanicola atlanticus,10,41,26.5,4,9,7,0.5,9,4,0,0,1,1,0,0,https://link.springer.com/article/10.1007/s10482-015-0398-2,,,,,
Pseudooceanicola antarcticus,4,40,36,5.5,9.5,7,0.5,10,1.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.062588-0,,,,,
Pseudooceanicola batsensis,4,40,30,6,9,7.75,0.75,10,2.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.03015-0,,,,,
Pseudooceanicola nitratireducens,10,37,28,7,9.5,8.15,0.5,7,2.25,0,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.016311-0,,,,,
Pseudooceanicola nanhaiensis,10,37,28,6,9.5,7.75,0,10,2.5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64532-0,,,,,
Maliponia aquimaris,4,40,30,6,8,7.5,0,9,2.5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001021,,,,,
Tropicibacter naphthalenivorans,10,43,37,6.5,8.5,7.5,1,15,5,1,1,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65821-0,,,,,
Lutimaribacter saemankumensis,10,45,30,5.5,8,7.5,0.5,11,2,0,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000109-0,,,,,
Citreimonas salinaria,15,40,32.5,6,10,7.5,1,10,5.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64373-0,,,,,
Roseivivax pacificus,10,40,32.5,5.5,8.5,7,0.5,15,5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.052274-0,,,,,
Marivita hallyeonensis,10,40,30,6,7.5,7.25,0.5,8,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.032086-0,,,,,
Roseivivax isoporae,4,40,37.5,7.5,8,7.75,3,7,4,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.032961-0,,,,,
Salipiger marinus,4,38,31.5,6,9,6.5,1,12,4.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64373-0,,,,,
Puniceibacterium antarcticum,4,35,25,5,9,7,0,10,2.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.057695-0,,,,,
Puniceibacterium sediminis,1,30,25,6,8,7,2,12,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000119,,,,,
Thalassococcus halodurans,12,44,32,6,10,8,2,18,4,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64801-0,,,,,
Donghicola tyrosinivorans,15,40,30,5.5,9,7.25,0,9,1.5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000543,,,,,
Donghicola eburneus,10,42,37,5,8,7.5,0.5,11,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64577-0,,,,,
Silicimonas algicola,10,40,25,6,9,7,0.5,4,1.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001394,,,,,
Pseudooceanicola lipolyticus,15,40,30,6,8.5,7,0.5,10,3,0,0,1,0,0,0,https://doi.org/10.1099/ijsem.0.002521,,,,,
Antarctobacter heliothermus,3,43.5,21,5.3,9,7.35,1,10,4,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-48-4-1363,,,,,
Salipiger thiooxidans,8,35,26.5,6.5,8.5,7.65,0.5,6,2,0,0,1,0,0,0,https://www.sciencedirect.com/science/article/abs/pii/S0723202005000949?via%3Dihub,,,,,
Salipiger profundus,10,30,25,6,9,8,1,12,6.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.066449-0,,,,,
Salipiger bermudensis,10,40,31.5,5,10.5,8.5,0.25,15,3,0,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64063-0,,,,,
Ponticoccus marisrubri,15,40,31.5,5,9,7.25,3,18,10.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002280,,,,,
Marinovum algicola,10,37,27.5,6,9,7.5,0.58,11.6,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-45-2-290,,,,,
