Gene	Taxon	Context	Cluster	Abundance	Diversity	Univocity	delta	k-value
amt	s__	Epipelagic	amt	7125.473999999991	4235	1.0	2.8554836040051095	20346.67417776468
amt	s__	Mesopelagic	amt	1266.0939999999991	834	1.0	2.051452248478542	2597.3313830851894
amt	s__	Bathypelagic	amt	288.35099999999994	236	1.0	1.7584230369938634	507.0430411402174
amt	s__Bacterioplanes sanyensis	Epipelagic	amt	17.286	6	1.0	0.3680493431839927	6.362100946278498
amt	s__Bacterioplanes sanyensis	Mesopelagic	amt	15.061999999999998	16	1.0	1.0881243708326997	16.389329273482122
amt	s__Bacterioplanes sanyensis	Bathypelagic	amt	36.94800000000001	33	1.0	1.1459101091568429	42.33908671312704
amt	f__Rhodobacteraceae	Epipelagic	amt	61.632999999999996	76	1.0	1.798822421090738	110.86682227908544
amt	f__Rhodobacteraceae	Mesopelagic	amt	10.924	14	1.0	1.211110298920155	13.230168905403772
amt	f__Rhodobacteraceae	Bathypelagic	amt	33.202000000000005	12	1.0	0.4514348399036016	14.988539554479383
amt	s__Erythrobacter_B marinus	Epipelagic	amt	0	0	1.0	0.0	0.0
amt	s__Erythrobacter_B marinus	Mesopelagic	amt	0.334	1	1.0	1.0000000001	0.3340000000334
amt	s__Erythrobacter_B marinus	Bathypelagic	amt	9.165	5	1.0	0.4933354088718942	4.52141902231091
amt	s__Bermanella marisrubri	Epipelagic	amt	5.485	8	1.0	1.1595076114990053	6.359899249072044
amt	s__Bermanella marisrubri	Mesopelagic	amt	4.481000000000001	8	1.0	1.3490993245377718	6.045314073253756
amt	s__Bermanella marisrubri	Bathypelagic	amt	3.9819999999999998	10	1.0	1.842306712314336	7.336065328435685
amt	Unspecified	Epipelagic	amt	87.13799999999993	142	1.0	2.5930206999135206	225.95063774906419
amt	Unspecified	Mesopelagic	amt	184.8759999999999	216	1.0	2.245266214663738	415.09583670217296
amt	Unspecified	Bathypelagic	amt	255.6320000000001	222	1.0	1.8102801851691541	462.76554429516136
amt	s__UBA9611 sp002746355	Epipelagic	amt	3.2899999999999996	4	1.0	0.8502066802796809	2.79717997812015
amt	s__UBA9611 sp002746355	Mesopelagic	amt	29.645	40	1.0	1.6380910658063732	48.56120964582993
amt	s__UBA9611 sp002746355	Bathypelagic	amt	174.68100000000004	138	1.0	1.4967408628707133	261.4521906671191
amt	s__GCA-2722455 sp002722455	Epipelagic	amt	15.660000000000002	27	1.0	1.7834300155414324	27.928514043378836
amt	s__GCA-2722455 sp002722455	Mesopelagic	amt	60.633	116	1.0	2.7794209565183574	168.52463085657757
amt	s__GCA-2722455 sp002722455	Bathypelagic	amt	12.207000000000004	30	1.0	2.388091360936687	29.151431242954146
amt	s__SM1-46 sp001304215	Epipelagic	amt	10.565000000000001	15	1.0	1.3305085946520485	14.056823302498895
amt	s__SM1-46 sp001304215	Mesopelagic	amt	20.705	25	1.0	1.3396196844296857	27.73682556611664
amt	s__SM1-46 sp001304215	Bathypelagic	amt	11.764999999999997	18	1.0	1.4729912991547893	17.32974263455609
amt	o__Verrucomicrobiales	Epipelagic	amt	15.785999999999998	34	1.0	2.2323597193679325	35.24003052994218
amt	o__Verrucomicrobiales	Mesopelagic	amt	2.7300000000000004	6	1.0	1.4666146035131356	4.0038578675908605
amt	o__Verrucomicrobiales	Bathypelagic	amt	1.25	4	1.0	1.7553004413192481	2.1941255516490603
amt	f__GCA-2696645	Epipelagic	amt	126.15099999999998	95	1.0	1.3148525326811014	165.8699618502536
amt	f__GCA-2696645	Mesopelagic	amt	57.875	37	1.0	0.9180005955864319	53.129284469564745
amt	f__GCA-2696645	Bathypelagic	amt	13.125000000000002	18	1.0	1.3571049778540802	17.812002834334805
amt	g__Erythrobacter_B	Epipelagic	amt	0	0	1.0	0.0	0.0
amt	g__Erythrobacter_B	Mesopelagic	amt	0.202	1	1.0	1.0000000001	0.20200000002020002
amt	g__Erythrobacter_B	Bathypelagic	amt	2.553	6	1.0	1.5421372970796507	3.937076519444348
amt	d__Bacteria	Epipelagic	amt	195.33699999999996	94	1.0	0.9376397234032675	183.15573065042403
amt	d__Bacteria	Mesopelagic	amt	182.94600000000003	122	1.0	1.278167976898106	233.83571870160094
amt	d__Bacteria	Bathypelagic	amt	101.71200000000003	85	1.0	1.3823723223726225	140.60385365316424
amt	s__GCF1875585 sp001875585	Epipelagic	amt	0.277	1	1.0	1.0000000001	0.27700000002770003
amt	s__GCF1875585 sp001875585	Mesopelagic	amt	26.564	7	1.0	0.3112258354674508	8.267403093357363
amt	s__GCF1875585 sp001875585	Bathypelagic	amt	14.035	8	1.0	0.5736182184134961	8.050731695433418
amt	f__Flavobacteriaceae	Epipelagic	amt	197.699	268	1.0	2.6493100169139354	523.7659410338681
amt	f__Flavobacteriaceae	Mesopelagic	amt	18.316	28	1.0	1.6446894496603455	30.124131959978886
amt	f__Flavobacteriaceae	Bathypelagic	amt	30.318999999999996	45	1.0	1.8120784739648224	54.940407252139444
amt	f__Thioglobaceae	Epipelagic	amt	75.108	33	1.0	0.6735396068549063	50.58821279165831
amt	f__Thioglobaceae	Mesopelagic	amt	173.068	83	1.0	0.9064911703204612	156.8846138650216
amt	f__Thioglobaceae	Bathypelagic	amt	83.766	59	1.0	1.1097079755963255	92.95579828380181
amt	f__TCS55	Epipelagic	amt	27.743999999999993	37	1.0	1.5923554692288704	44.17831013828577
amt	f__TCS55	Mesopelagic	amt	93.47299999999997	43	1.0	0.7449982421800406	69.63722069129491
amt	f__TCS55	Bathypelagic	amt	7.755	21	1.0	2.3482141113852895	18.21040043379292
amt	s__Chloroherpeton thalassium	Epipelagic	amt	0	0	1.0	0.0	0.0
amt	s__Chloroherpeton thalassium	Mesopelagic	amt	12.893	12	1.0	0.9169043666635979	11.821647999393768
amt	s__Chloroherpeton thalassium	Bathypelagic	amt	10.947	7	1.0	0.6046018527861702	6.618576482450204
amt	s__Alcanivorax sp002706085	Epipelagic	amt	0.632	1	1.0	0.7314137311585637	0.46225347809221223
amt	s__Alcanivorax sp002706085	Mesopelagic	amt	4.193	9	1.0	1.5951716086141714	6.68855455491922
amt	s__Alcanivorax sp002706085	Bathypelagic	amt	5.876	9	1.0	1.2388674136547544	7.279584922635337
amt	s__QGNO01 sp003228195	Epipelagic	amt	8.544	15	1.0	1.5598716789761327	13.327543625172078
amt	s__QGNO01 sp003228195	Mesopelagic	amt	83.93599999999998	101	1.0	1.8967867737968984	159.20869464541641
amt	s__QGNO01 sp003228195	Bathypelagic	amt	129.72500000000002	123	1.0	1.6671320567753967	216.26870606518838
amt	g__Corynebacterium	Epipelagic	amt	7.907	6	1.0	0.661233683159019	5.228374732738363
amt	g__Corynebacterium	Mesopelagic	amt	42.74300000000001	13	1.0	0.4047461689572332	17.300065499739024
amt	g__Corynebacterium	Bathypelagic	amt	126.545	16	1.0	0.22093216768797583	27.957861160074902
amt	s__Thioglobus_A autotrophicus	Epipelagic	amt	3.62	2	1.0	0.39572937008025877	1.4325403196905369
amt	s__Thioglobus_A autotrophicus	Mesopelagic	amt	13.482	5	1.0	0.36947106252062456	4.98120886490306
amt	s__Thioglobus_A autotrophicus	Bathypelagic	amt	25.496000000000002	11	1.0	0.50433594551953	12.858549266965937
amt	s__Flavivirga eckloniae	Epipelagic	amt	13.82	21	1.0	1.523261072511257	21.05146802210557
amt	s__Flavivirga eckloniae	Mesopelagic	amt	1.372	3	1.0	1.2277697737637108	1.6845001296038113
amt	s__Flavivirga eckloniae	Bathypelagic	amt	0	0	1.0	0.0	0.0
amt	s__Coraliomargarita akajimensis	Epipelagic	amt	51.41299999999999	79	1.0	2.1418274040023375	110.11777232197215
amt	s__Coraliomargarita akajimensis	Mesopelagic	amt	204.31599999999997	76	1.0	0.7329955403949062	149.76271683132563
amt	s__Coraliomargarita akajimensis	Bathypelagic	amt	150.28199999999993	63	1.0	0.7648070276018933	114.93672972206768
amt	s__Citromicrobium sp000186705	Epipelagic	amt	1.193	3	1.0	1.3633150083180807	1.6264348049234705
amt	s__Citromicrobium sp000186705	Mesopelagic	amt	3.846	9	1.0	1.7018038910440427	6.545137764955388
amt	s__Citromicrobium sp000186705	Bathypelagic	amt	10.179000000000002	18	1.0	1.6417511098278568	16.711384546937758
amt	s__Ascidiaceihabitans donghaensis	Epipelagic	amt	90.426	75	1.0	1.332077316579546	120.45442342902204
amt	s__Ascidiaceihabitans donghaensis	Mesopelagic	amt	119.317	53	1.0	0.7648007255556982	91.25372817112924
amt	s__Ascidiaceihabitans donghaensis	Bathypelagic	amt	168.19400000000002	69	1.0	0.7698885238869851	129.49063038664758
