Gene	Taxon	Context	Cluster	Abundance	Diversity	Univocity	delta	k-value
potF	s__UBA11791 sp002714255	Bathypelagic	C3	14.814999999999998	25	1.0	2.094828113231656	31.034878497526982
potF	s__UBA11791 sp002714255	Epipelagic	C3	4.372	3	1.0	0.5828446262824913	2.5481967061070523
potF	s__UBA11791 sp002714255	Mesopelagic	C3	6.759000000000001	12	1.0	1.7267868039789132	11.671352008093477
potF	s__Pseudomonas_E marincola	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_E marincola	Epipelagic	C3	0.364	1	1.0	1.0000000001	0.3640000000364
potF	s__Pseudomonas_E marincola	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g__Puniceibacterium	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g__Puniceibacterium	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g__Puniceibacterium	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	g__Thalassospira	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	g__Thalassospira	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	g__Thalassospira	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Tritonibacter mobile	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Tritonibacter mobile	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Tritonibacter mobile	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA8309 sp002457745	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA8309 sp002457745	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA8309 sp002457745	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__	Bathypelagic	C3	139.65599999999998	61	1.0	1.0892689199160603	152.1229402797973
potF	s__	Epipelagic	C3	55.513999999999996	55	1.0	1.8545975287709382	102.95612721218986
potF	s__	Mesopelagic	C3	152.063	86	1.0	1.448214492101142	220.21984031237594
potF	s__Pseudooceanicola sp002709085	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola sp002709085	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola sp002709085	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_D pachastrellae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_D pachastrellae	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_D pachastrellae	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola batsensis	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola batsensis	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola batsensis	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Salipiger marinus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Salipiger marinus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Salipiger marinus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Halomonas sp002696125	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Halomonas sp002696125	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Halomonas sp002696125	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Sulfitobacter pontiacus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Sulfitobacter pontiacus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Sulfitobacter pontiacus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Fulvimarina sp002700095	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Fulvimarina sp002700095	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Fulvimarina sp002700095	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Ahrensia sp002706335	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Ahrensia sp002706335	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Ahrensia sp002706335	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Fulvimarina manganoxydans	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Fulvimarina manganoxydans	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Fulvimarina manganoxydans	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola nitratireducens	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola nitratireducens	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola nitratireducens	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinobacter sp001752365	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinobacter sp001752365	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinobacter sp001752365	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Mesorhizobium_E oceanicum	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Mesorhizobium_E oceanicum	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Mesorhizobium_E oceanicum	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__AAA300-D14 sp002715065	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__AAA300-D14 sp002715065	Epipelagic	C3	14.828000000000001	14	1.0	1.1723949474671045	17.384272281042225
