amoA
Cyclo1,putative_MBAE,AOA,bmoA,Incertae_sedis,A6,Gamma_pmoA
>>g__Cycloclasticus
2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Oceanococcus atlanticus
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Nitrosopelagicus brevis
0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000
>>s__
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,1.0000,3.0000,1.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
>>s__Nitrosopelagicus sp001627235
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
>>s__Arctic96AD-7 sp002082305
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000
>>Unspecified
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,41.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,24.0000,0.0000,0.0000,0.0000,0.0000
>>s__Polycyclovorans sp002706265
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>f__Nitrosopumilaceae
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__UBA213 sp002713325
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
>>s__OPU3-GD-OMZ sp001901525
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
