amoa
AOA,Cyclo1,AOB,putative_MBAE
>>Unspecified
109.7940,0.0000,0.0000,0.0000
160869.4670,0.0000,0.0000,0.0000
149874.9120,0.0000,0.0000,0.0000
>>f__Nitrosopumilaceae
33.8800,0.0000,0.0000,0.0000
3683.5560,0.0000,0.0000,0.0000
260.3440,0.0000,0.0000,0.0000
>>s__UBA213 sp002713325
0.0000,0.0000,0.0000,0.0000
1.8620,0.0000,0.0000,0.0000
0.2990,0.0000,0.0000,0.0000
>>s__Nitrosopelagicus brevis
4638.2910,0.0000,0.0000,0.0000
7718.7950,0.0000,0.0000,0.0000
83.7960,0.0000,0.0000,0.0000
>>s__
0.0000,3.5130,0.0000,0.0000
0.0000,0.2450,1.6000,0.3380
0.0000,0.0000,0.0000,0.0000
>>s__Nitrosopumilus sp002690535
14.6730,0.0000,0.0000,0.0000
66.4920,0.0000,0.0000,0.0000
8.1180,0.0000,0.0000,0.0000
>>s__Nitrosopelagicus sp001627235
18.2340,0.0000,0.0000,0.0000
721.2720,0.0000,0.0000,0.0000
2.3860,0.0000,0.0000,0.0000
>>s__Polycyclovorans sp002706265
0.0000,0.0000,0.0000,0.0000
0.0000,2.1710,0.0000,2.4830
0.0000,1.5440,0.0000,1.4330
>>g__Cycloclasticus
0.0000,1.2280,0.0000,0.0000
0.0000,2.2680,0.0000,0.0000
0.0000,0.5090,0.0000,0.0000
>>s__Oceanococcus atlanticus
0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,16.2480
0.0000,0.0000,0.0000,0.0000
