hzsA
CladeI,CladeII,CladeIII,CladeIV,Kuste2861,Vibrio
>>s__
111.5840,5.7900,0.0000,0.0000,0.8280,0.0000
1990.8020,421.5800,79.3160,578.9760,1035.2640,0.0000
0.0000,85.7120,3.1700,0.0000,0.0000,0.0000
>>g__UBA6614
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,32.1440,0.0000,0.0000,0.0000,0.0000
>>s__Alcanivorax jadensis
0.0000,0.0000,1.8800,0.0000,0.0000,0.0000
0.0000,0.0000,53.8350,0.0000,0.0000,0.0000
0.0000,0.0000,33.9250,0.0000,0.0000,0.0000
>>s__Alcanivorax sp900107995
0.0000,0.0000,84.2240,0.0000,0.0000,0.0000
0.0000,0.0000,461.9100,0.0000,0.0000,0.0000
0.0000,0.0000,296.6880,0.0000,0.0000,0.0000
>>s__Marinobacter salarius
0.0000,0.0000,0.4450,0.0000,0.0000,0.0000
0.0000,0.0000,7.7440,0.0000,0.0000,0.0000
0.0000,0.0000,0.1570,0.0000,0.0000,0.0000
>>g__Alcanivorax
0.0000,0.0000,5.3520,0.0000,0.0000,0.0000
0.0000,0.0000,19.6360,0.0000,0.0000,0.0000
0.0000,0.0000,18.1880,0.0000,0.0000,0.0000
>>s__Alcanivorax sp002733835
0.0000,0.0000,0.3990,0.0000,0.0000,0.0000
0.0000,0.0000,2.7160,0.0000,0.0000,0.0000
0.0000,0.0000,1.3220,0.0000,0.0000,0.0000
>>s__Halioglobus sp002862985
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.4370,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Teredinibacter turnerae_B
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,4.8870,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Roseibacillus sp002501065
1.8160,0.0000,0.0000,0.0000,0.0000,0.0000
883.4720,0.0000,16.5440,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Vibrio jasicida
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,361.8320
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Desulfofaba hansenii
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.9890,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__SZUA-265 sp003235365
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,5.4240,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__GCA-2683825 sp002683825
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,88.7360,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__GCF-002020875 sp002020875
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,23.8300,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Microbulbifer agarilyticus_A
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,173.7420,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__SZUA-115 sp003231035
0.0000,6.9800,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>d__Bacteria
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58.5850,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>g__Maribacter_A
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5850,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Nitrosococcus watsonii
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,46.1720,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Methylovulum miyakonense
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,10.4390,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Coraliomargarita akajimensis
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.1080,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__UBA6614 sp002721895
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,6.8440,0.0000,0.0000,0.0000,0.0000
>>f__Puniceicoccaceae
0.4080,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__MED-G138 sp004213565
0.0000,0.4550,0.0000,0.0000,0.0000,0.0000
0.0000,5.4360,0.0000,5.6860,0.0000,0.0000
0.0000,2.1480,0.0000,1.3540,0.0000,0.0000
>>s__Alcanivorax sp000475295
0.0000,0.0000,0.5570,0.0000,0.0000,0.0000
0.0000,0.0000,8.3000,0.0000,0.0000,0.0000
0.0000,0.0000,24.9720,0.0000,0.0000,0.0000
>>s__UBA8108 sp002320775
0.0000,0.3300,0.0000,0.0000,0.0000,0.0000
0.0000,2.5760,0.0000,0.0000,0.0000,0.0000
0.0000,0.7690,0.0000,0.0000,0.0000,0.0000
>>s__Alcanivorax nanhaiticus
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.2530,0.0000,0.0000,0.0000
>>s__Marinobacter flavimaris
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2720,0.0000,0.0000,0.0000
>>s__Ketobacter sp003667185
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,2.2980,0.0000,0.0000,0.0000
>>s__Marinicella sediminis
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.2600,0.0000,0.0000
0.0000,0.0000,0.0000,0.3500,0.0000,0.0000
>>s__UBA5680 sp002420425
1.6180,0.0000,0.0000,0.0000,0.0000,0.0000
10.7040,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__UBA5682 sp002327725
0.5500,0.0000,0.0000,0.0000,0.0000,0.0000
11.3760,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__GCA-2726245 sp002726245
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2690,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s__Marinobacter hydrocarbonoclasticus
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.8440,0.0000,0.0000,0.0000
>>s__Alcanivorax sp002706085
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9130,0.0000,0.0000,0.0000
