Yoonia maricola, GCF_002797915.1, ASM279791v1
Yoonia litorea, GCF_900114675.1, IMG-taxon 2687453745 annotated assembly
Nioella nitratireducens, GCF_001879715.1, ASM187971v1
Octadecabacter antarcticus, GCF_000155675.2, ASM15567v2
Shimia marina, GCF_001458175.1, S.marinaCECT7688_Velvet_Prokka
Shimia haliotis, GCF_900114415.1, IMG-taxon 2619619046 annotated assembly
Pseudopelagicola gijangensis, GCF_900142085.1, IMG-taxon 2700988697 annotated assembly
Thalassobius aestuarii, GCF_900114635.1, IMG-taxon 2616644822 annotated assembly
Aliiroseovarius pelagivivens, GCF_900302485.1, A.pelagivivensCECT8811_Spades_Prokka
Lentibacter algarum, GCF_900107355.1, IMG-taxon 2693429861 annotated assembly
Pseudaestuariivita atlantica, GCF_001205715.1, ASM120571v1
Ascidiaceihabitans donghaensis, GCF_900302465.1, A.donghaensisCECT8599_Spades_Prokka
Boseongicola aestuarii , GCF_900184815.1, B.aestuarii_CECT8489_Spades_Prokka
Cognatiyoonia sediminum, GCF_900129845.1, IMG-taxon 2695421013 annotated assembly
Roseobacter litoralis, GCF_000154785.2, ASM15478v2
Octadecabacter temperatus, GCF_001187845.1, ASM118784v1
Pseudooctadecabacter jejudonensis, GCF_900172275.1, P.jejudonensis_CECT8397_Spades_Prokka
Roseovarius nanhaiticus, GCF_900156535.1, IMG-taxon 2681812935 annotated assembly
Pseudooceanicola marinus, GCF_002786295.1, L23705_abyss-scaffolds_k62_38
Roseovarius litorisediminis, GCF_900172295.1, P.litorisediminis_CECT8287_Spades_Prokka
Pseudooceanicola atlanticus, GCF_000768315.1, ASM76831v1
Pseudooceanicola antarcticus, GCF_900215355.1, IMG-taxon 2721755848 annotated assembly
Pseudooceanicola batsensis, GCF_000152725.1, ASM15272v1
Pseudooceanicola nitratireducens, GCF_019800905.1, ASM1980090v1
Pseudooceanicola nanhaiensis, GCF_000688295.1, ASM68829v1
Maliponia aquimaris, GCF_900184945.1, M.aquimaris_CECT8898_Spades_Prokka
Tropicibacter naphthalenivorans, GCF_001458375.1, Tr.naphthalenivorans_CECT7648_Spades_Prokka
Lutimaribacter saemankumensis, GCF_900100005.1, IMG-taxon 2675903213 annotated assembly
Citreimonas salinaria, GCF_900107235.1, IMG-taxon 2693429906 annotated assembly
Roseivivax pacificus, GCF_003054175.1, ASM305417v1
Marivita hallyeonensis, GCF_900129875.1, IMG-taxon 2695421018 annotated assembly
Roseivivax isoporae, GCF_000521865.1, SOAPdenovo v1.05
Salipiger marinus, GCF_900100085.1, IMG-taxon 2615840707 annotated assembly
Puniceibacterium antarcticum, GCF_002760615.1, ASM276061v1
Puniceibacterium sediminis, GCF_900188035.1, IMG-taxon 2724679734 annotated assembly
Thalassococcus halodurans, GCF_900108225.1, IMG-taxon 2617270859 annotated assembly
Donghicola tyrosinivorans, GCF_003003355.1, ASM300335v1
Donghicola eburneus , GCF_900115865.1, IMG-taxon 2684622851 annotated assembly
Silicimonas algicola, GCF_003970735.1, ASM397073v1
Pseudooceanicola lipolyticus, GCF_002786325.1, 157.Hcov.spades_scaffolds_517
Antarctobacter heliothermus, GCF_900188425.1, IMG-taxon 2619619037 annotated assembly
Salipiger thiooxidans, GCF_900102075.1, IMG-taxon 2615840719 annotated assembly
Salipiger profundus, GCF_014637265.1, ASM1463726v1
Salipiger bermudensis, GCF_017309175.1, ASM1730917v1
Ponticoccus marisrubri, GCF_001482405.1, ASM148240v1
Marinovum algicola, GCF_900109145.1, IMG-taxon 2615840718 annotated assembly
Sagittula stellata, GCF_000169415.1, ASM16941v1
Salipiger pacificus, GCF_900100725.1, IMG-taxon 2617270881 annotated assembly
Roseivivax marinus, GCF_900109705.1, IMG-taxon 2693429879 annotated assembly
Maritimibacter alkaliphilus, GCF_008124775.1, ASM812477v1
Roseovarius mucosus, GCF_000768555.3, Rosmuc_1.1
Roseovarius halotolerans, GCF_003634925.1, ASM363492v1
Litorimicrobium taeanense, GCF_900110775.1, IMG-taxon 2615840713 annotated assembly
Thalassobius gelatinovorus, GCF_012295595.1, ASM1229559v1
Poseidonocella pacifica, GCF_900111875.1, IMG-taxon 2687453774 annotated assembly
Poseidonocella sedimentorum, GCF_900116005.1, IMG-taxon 2634166304 annotated assembly
Roseivivax lentus, GCF_900156805.1, IMG-taxon 2681813559 annotated assembly
Marivita geojedonensis, GCF_002115805.1, ASM211580v1
Salinihabitans flavidus, GCF_900110425.1, IMG-taxon 2634166353 annotated assembly
Roseovarius lutimaris, GCF_900115165.1, IMG-taxon 2622736530 annotated assembly
Sulfitobacter donghicola, GCF_000622405.1, 12864_draft
Cribrihabitans marinus, GCF_900109035.1, IMG-taxon 2693429871 annotated assembly
Tropicimonas sediminicola, GCF_900188335.1, IMG-taxon 2681813518 annotated assembly
Pseudoruegeria marinistellae, GCF_001509585.1, ASM150958v1
Tropicimonas isoalkanivorans, GCF_900112335.1, IMG-taxon 2615840715 annotated assembly
Pseudoruegeria haliotis, GCF_003003255.1, ASM300325v1
Sedimentitalea nanhaiensis, GCF_000473225.1, ASM47322v1
Ruegeria litorea, GCF_900172225.1, Tr.litoreus_CECT7639_Spades_Prokka
Ruegeria profundi, GCF_020171505.1, ASM2017150v1
Ruegeria pomeyori, GCF_000011965.2, ASM1196v2
Ruegeria marina, GCF_900101475.1, IMG-taxon 2617270884 annotated assembly
Thalassobius mediterraneus, GCF_900156595.1, IMG-taxon 2681813506 annotated assembly
Halocynthiibacter arcticus, GCF_000812665.2, ASM81266v2
Aliiroseovarius sediminilitoris, GCF_900109955.1, IMG-taxon 2687453744 annotated assembly
Roseovarius aestuarii, GCF_900172285.1, R.aestuarii_CECT7745_Spades_Prokka
Sulfitobacter pontiacus, GCF_000647675.1, SulPonPM01v1
Sulfitobacter noctilucae, GCF_000622365.1, NB68_draft
Sulfitobacter geojensis, GCF_016814695.1, ASM1681469v1
Sulfitobacter mediterraneus, GCF_016801755.1, ASM1680175v1
